排名,股票代码,股票名称,综合评分,基本面评分,技术面评分,市场面评分,状态
1,000568,泸州老窖,99.40326577632484,100.0,98.54879114557615,99.64475550149281,强烈推荐
2,603986,兆易创新,98.29331740543395,97.59015431097576,98.50000000000001,99.12902272417455,强烈推荐
3,300124,汇川技术,97.86256073318918,95.71696436709175,98.78792853243567,100.0,强烈推荐
4,601288,农业银行,97.82160429210992,96.83155195434998,99.9180224863441,96.47070256059796,强烈推荐
5,300059,东方财富,97.71368698533131,98.38428777391049,97.64979978047744,96.7301678104,强烈推荐
6,601988,中国银行,97.47294209109648,95.0083941477412,100.0,97.87833772799999,强烈推荐
7,300498,温氏股份,97.41404031358188,95.23648747026876,98.05555807278394,100.0,强烈推荐
8,603259,药明康德,97.34079518817413,95.24414874601564,97.8375305421939,100.0,强烈推荐
9,002456,欧菲光,97.25844766031662,96.20861915079153,96.50000000000001,100.0,强烈推荐
10,601012,隆基绿能,97.23551643799698,96.82169786030431,100.0,94.02734917550102,强烈推荐
11,000002,万科A,97.12576406440509,97.32706893287506,98.58976257236601,94.75407836370782,强烈推荐
12,600519,贵州茅台,96.96707123084141,100.0,100.0,87.86828492336565,强烈推荐
13,002475,立讯精密,96.86967038878032,94.97119424220777,98.83020894865521,97.16247823947154,强烈推荐
14,600887,伊利股份,96.77521361253315,95.19704511333285,100.0,94.7855822688,强烈推荐
15,002241,歌尔股份,96.39990433685566,93.03667502068448,100.0,96.74093731432744,强烈推荐
16,300122,智飞生物,96.2618154806494,91.40453870162352,99.14285714285714,100.0,强烈推荐
17,600585,海螺水泥,96.21825344623892,98.86869442759732,100.0,86.68310270079999,强烈推荐
18,002049,紫光国微,95.67391237004824,97.89233952812062,100.0,86.0679062352,强烈推荐
19,300015,爱尔眼科,95.60530801747329,100.0,99.16360882420942,83.59217971599999,强烈推荐
20,601318,中国平安,95.34633765694629,89.10277039234317,100.0,98.82091800003609,强烈推荐
